编号,八字,终分,旺衰,格局,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,变化类型,before用神,before喜,before忌,before_method,after用神,after喜,after忌,after_method,tiebreak
"B3","辛酉 丁酉 甲寅 乙丑","34","偏弱","正官格·破格","金","官杀","是(3)","-16","0","0","0","-16","4.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B3","辛酉 丁酉 甲寅 乙丑","34","偏弱","正官格·破格","水","印","否","16","7.68","6","0","29.68","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","36","偏弱","食神生财格·成格","木","比劫","否","14","5.6","0","0","19.6","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","用神翻转","水","水、木","金、火、土","扶抑为主","木","木、水","金、火、土","扶抑为主","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","36","偏弱","食神生财格·成格","火","食伤","否","-14","0","4","0","-10","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","用神翻转","水","水、木","金、火、土","扶抑为主","木","木、水","金、火、土","扶抑为主","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","36","偏弱","食神生财格·成格","土","财","是(4)","-14","0","6","0","-8","6.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","用神翻转","水","水、木","金、火、土","扶抑为主","木","木、水","金、火、土","扶抑为主","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","36","偏弱","食神生财格·成格","金","官杀","否","-14","0","0","0","-14","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","用神翻转","水","水、木","金、火、土","扶抑为主","木","木、水","金、火、土","扶抑为主","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","36","偏弱","食神生财格·成格","水","印","否","14","3.36","0","0","17.36","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","用神翻转","水","水、木","金、火、土","扶抑为主","木","木、水","金、火、土","扶抑为主","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","42","中和","正官格·破格","木","比劫","否","8","0","0","0","8","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","42","中和","正官格·破格","火","食伤","否","-8","0","0","0","-8","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","42","中和","正官格·破格","土","财","否","-8","0","3","0","-5","-0.5","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","42","中和","正官格·破格","金","官杀","否","-8","0","0","0","-8","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","42","中和","正官格·破格","水","印","否","8","0","6","0","14","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","仅排序","水","水、木","金、火、土","格局救应","水","水、木","火、金、土","格局救应","无需决胜（唯一最高分）"
"B6","丙申 己亥 丁卯 壬寅","34","偏弱","正官格·成格","木","印","否","16","0","0","6","22","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","用神","仅排序","木","木、火","水、土、金","扶抑为主·调候辅助","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
"B6","丙申 己亥 丁卯 壬寅","34","偏弱","正官格·成格","火","比劫","否","16","0","0","8","24","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","仅排序","木","木、火","水、土、金","扶抑为主·调候辅助","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
"B6","丙申 己亥 丁卯 壬寅","34","偏弱","正官格·成格","土","食伤","否","-16","0","0","0","-16","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","木","木、火","水、土、金","扶抑为主·调候辅助","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
"B6","丙申 己亥 丁卯 壬寅","34","偏弱","正官格·成格","金","财","否","-16","0","0","0","-16","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","仅排序","木","木、火","水、土、金","扶抑为主·调候辅助","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
"B6","丙申 己亥 丁卯 壬寅","34","偏弱","正官格·成格","水","官杀","否","-16","0","0","0","-16","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","仅排序","木","木、火","水、土、金","扶抑为主·调候辅助","木","木、火","土、金、水","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
