标签,八字,排盘校验,终分,旺衰,格局,从格,五行,与日主关系,成势,L1,L2,L3,L4,S_need,根气分,根气质量,角色,用神,喜神,忌神,method,tiebreak,破格原因,成格条件清单
"P15-13","辛巳 丁酉 癸亥 壬子","合格","95","极强","偏印格·破格","否","火","财","否","45","0","0","0","45","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","土","土、木、火","金、水","格局救应","无需决胜（唯一最高分）","财星破印","✅日主有承载格局之力（日主极强（95分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-13","辛巳 丁酉 癸亥 壬子","合格","95","极强","偏印格·破格","否","土","官杀","否","45","10","0","0","55","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","土","土、木、火","金、水","格局救应","无需决胜（唯一最高分）","财星破印","✅日主有承载格局之力（日主极强（95分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-13","辛巳 丁酉 癸亥 壬子","合格","95","极强","偏印格·破格","否","金","印","否","-45","0","0","0","-45","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、木、火","金、水","格局救应","无需决胜（唯一最高分）","财星破印","✅日主有承载格局之力（日主极强（95分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-13","辛巳 丁酉 癸亥 壬子","合格","95","极强","偏印格·破格","否","水","比劫","是(3)","-45","0","6","0","-39","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","土","土、木、火","金、水","格局救应","无需决胜（唯一最高分）","财星破印","✅日主有承载格局之力（日主极强（95分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-14","丙寅 庚寅 戊辰 癸亥","合格","22","极弱","食神制杀格·破格","否","木","官杀","否","-28","0","0","0","-28","5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","土","土、火","木、水、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=2，土=3→土)","日主极弱，难以承载格局用神",""
"P15-14","丙寅 庚寅 戊辰 癸亥","合格","22","极弱","食神制杀格·破格","否","火","印","否","28","0","0","0","28","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","土","土、火","木、水、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=2，土=3→土)","日主极弱，难以承载格局用神",""
"P15-14","丙寅 庚寅 戊辰 癸亥","合格","22","极弱","食神制杀格·破格","否","土","比劫","否","28","0","0","0","28","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","土","土、火","木、水、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=2，土=3→土)","日主极弱，难以承载格局用神",""
"P15-14","丙寅 庚寅 戊辰 癸亥","合格","22","极弱","食神制杀格·破格","否","金","食伤","否","-28","0","4","0","-24","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","土","土、火","木、水、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=2，土=3→土)","日主极弱，难以承载格局用神",""
"P15-14","丙寅 庚寅 戊辰 癸亥","合格","22","极弱","食神制杀格·破格","否","水","财","否","-28","0","0","0","-28","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","土","土、火","木、水、金","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=2，土=3→土)","日主极弱，难以承载格局用神",""
"P15-15","癸未 戊午 乙卯 丙戌","合格","19","极弱","食神生财格·破格","否","木","比劫","否","31","10","0","0","41","2.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","木","木、水","金、火、土","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神",""
"P15-15","癸未 戊午 乙卯 丙戌","合格","19","极弱","食神生财格·破格","否","火","食伤","否","-31","0","1.6","0","-29.4","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","木","木、水","金、火、土","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神",""
"P15-15","癸未 戊午 乙卯 丙戌","合格","19","极弱","食神生财格·破格","否","土","财","是(3)","-31","0","2.4","0","-28.6","6","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","木","木、水","金、火、土","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神",""
"P15-15","癸未 戊午 乙卯 丙戌","合格","19","极弱","食神生财格·破格","否","金","官杀","否","-31","0","0","0","-31","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","木","木、水","金、火、土","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神",""
"P15-15","癸未 戊午 乙卯 丙戌","合格","19","极弱","食神生财格·破格","否","水","印","否","31","6","0","0","37","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","木","木、水","金、火、土","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神",""
"P15-16","丁卯 壬寅 壬午 庚子","合格","26","极弱","食神格·破格","否","木","食伤","否","-24","0","0","0","-24","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","水","水、金","木、土、火","格局救应","结构需求分(金=0，水=0→金水) → 通关/救应价值(金=0，水=0→金水) → 根气质量(金=0，水=2→水)","月令用神未透干；枭神夺食；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（26分），身太弱难担格局）；❌无枭神夺食（偏印夺食，才华受阻）；✅食神有生财之路（食神生财，技艺得价）"
"P15-16","丁卯 壬寅 壬午 庚子","合格","26","极弱","食神格·破格","否","火","财","否","-24","0","6","0","-18","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","水","水、金","木、土、火","格局救应","结构需求分(金=0，水=0→金水) → 通关/救应价值(金=0，水=0→金水) → 根气质量(金=0，水=2→水)","月令用神未透干；枭神夺食；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（26分），身太弱难担格局）；❌无枭神夺食（偏印夺食，才华受阻）；✅食神有生财之路（食神生财，技艺得价）"
"P15-16","丁卯 壬寅 壬午 庚子","合格","26","极弱","食神格·破格","否","土","官杀","否","-24","0","0","0","-24","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","水","水、金","木、土、火","格局救应","结构需求分(金=0，水=0→金水) → 通关/救应价值(金=0，水=0→金水) → 根气质量(金=0，水=2→水)","月令用神未透干；枭神夺食；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（26分），身太弱难担格局）；❌无枭神夺食（偏印夺食，才华受阻）；✅食神有生财之路（食神生财，技艺得价）"
"P15-16","丁卯 壬寅 壬午 庚子","合格","26","极弱","食神格·破格","否","金","印","否","24","0","0","0","24","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","喜神","水","水、金","木、土、火","格局救应","结构需求分(金=0，水=0→金水) → 通关/救应价值(金=0，水=0→金水) → 根气质量(金=0，水=2→水)","月令用神未透干；枭神夺食；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（26分），身太弱难担格局）；❌无枭神夺食（偏印夺食，才华受阻）；✅食神有生财之路（食神生财，技艺得价）"
"P15-16","丁卯 壬寅 壬午 庚子","合格","26","极弱","食神格·破格","否","水","比劫","否","24","0","0","0","24","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","水","水、金","木、土、火","格局救应","结构需求分(金=0，水=0→金水) → 通关/救应价值(金=0，水=0→金水) → 根气质量(金=0，水=2→水)","月令用神未透干；枭神夺食；日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（26分），身太弱难担格局）；❌无枭神夺食（偏印夺食，才华受阻）；✅食神有生财之路（食神生财，技艺得价）"
"P15-17","庚辰 己卯 丙申 己亥","合格","51","中和","正印格·破格","否","木","印","否","-1","0","0","0","-1","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","火","火","","格局救应","无需决胜（唯一最高分）","月令用神未透干；财星破印","✅日主有承载格局之力（日主中和（51分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-17","庚辰 己卯 丙申 己亥","合格","51","中和","正印格·破格","否","火","比劫","否","-1","0","6","0","5","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","用神","火","火","","格局救应","无需决胜（唯一最高分）","月令用神未透干；财星破印","✅日主有承载格局之力（日主中和（51分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-17","庚辰 己卯 丙申 己亥","合格","51","中和","正印格·破格","否","土","食伤","是(3)","1","0","0","0","1","4.5","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","中性","火","火","","格局救应","无需决胜（唯一最高分）","月令用神未透干；财星破印","✅日主有承载格局之力（日主中和（51分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-17","庚辰 己卯 丙申 己亥","合格","51","中和","正印格·破格","否","金","财","否","1","0","0","0","1","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","中性","火","火","","格局救应","无需决胜（唯一最高分）","月令用神未透干；财星破印","✅日主有承载格局之力（日主中和（51分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-17","庚辰 己卯 丙申 己亥","合格","51","中和","正印格·破格","否","水","官杀","否","1","0","0","0","1","1.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","火","火","","格局救应","无需决胜（唯一最高分）","月令用神未透干；财星破印","✅日主有承载格局之力（日主中和（51分），可承载格局）；❌无财星破印（财星克印，印格受损）；✅日主有根纳印（✓）"
"P15-18","甲申 丙寅 甲辰 己巳","合格","68","偏强","建禄格·破格","否","木","比劫","否","-18","0","0","0","-18","3","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","月令受年柱冲","✅日主有承载格局之力（日主偏强（68分），可承载格局）；✅财官透出为用（✓）"
"P15-18","甲申 丙寅 甲辰 己巳","合格","68","偏强","建禄格·破格","否","火","食伤","否","18","0","0","0","18","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","喜神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","月令受年柱冲","✅日主有承载格局之力（日主偏强（68分），可承载格局）；✅财官透出为用（✓）"
"P15-18","甲申 丙寅 甲辰 己巳","合格","68","偏强","建禄格·破格","否","土","财","否","18","0","0","0","18","3.5","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","喜神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","月令受年柱冲","✅日主有承载格局之力（日主偏强（68分），可承载格局）；✅财官透出为用（✓）"
"P15-18","甲申 丙寅 甲辰 己巳","合格","68","偏强","建禄格·破格","否","金","官杀","否","18","0","1.6","0","19.6","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","月令受年柱冲","✅日主有承载格局之力（日主偏强（68分），可承载格局）；✅财官透出为用（✓）"
"P15-18","甲申 丙寅 甲辰 己巳","合格","68","偏强","建禄格·破格","否","水","印","否","-18","0","6","0","-12","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","忌神","金","金、火、土","木、水","格局救应","无需决胜（唯一最高分）","月令受年柱冲","✅日主有承载格局之力（日主偏强（68分），可承载格局）；✅财官透出为用（✓）"
"P15-19","己亥 丙子 辛酉 戊子","合格","45","中和","食神格·破格","否","木","财","否","-5","0","6","0","1","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","土","土、金","水","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令用神未透干；枭神夺食","✅日主有承载格局之力（日主中和（45分），可承载格局）；❌无枭神夺食（偏印夺食，才华受阻）；❌食神有生财之路（缺财星转化，秀而不实）"
"P15-19","己亥 丙子 辛酉 戊子","合格","45","中和","食神格·破格","否","火","官杀","否","-5","0","0","6","1","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","中性","土","土、金","水","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令用神未透干；枭神夺食","✅日主有承载格局之力（日主中和（45分），可承载格局）；❌无枭神夺食（偏印夺食，才华受阻）；❌食神有生财之路（缺财星转化，秀而不实）"
"P15-19","己亥 丙子 辛酉 戊子","合格","45","中和","食神格·破格","否","土","印","否","5","2.4","0","0","7.4","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","用神","土","土、金","水","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令用神未透干；枭神夺食","✅日主有承载格局之力（日主中和（45分），可承载格局）；❌无枭神夺食（偏印夺食，才华受阻）；❌食神有生财之路（缺财星转化，秀而不实）"
"P15-19","己亥 丙子 辛酉 戊子","合格","45","中和","食神格·破格","否","金","比劫","否","5","0","0","0","5","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","土","土、金","水","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令用神未透干；枭神夺食","✅日主有承载格局之力（日主中和（45分），可承载格局）；❌无枭神夺食（偏印夺食，才华受阻）；❌食神有生财之路（缺财星转化，秀而不实）"
"P15-19","己亥 丙子 辛酉 戊子","合格","45","中和","食神格·破格","否","水","食伤","是(3)","-5","0","0","0","-5","4","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","土","土、金","水","扶抑为主·调候辅助","无需决胜（唯一最高分）","月令用神未透干；枭神夺食","✅日主有承载格局之力（日主中和（45分），可承载格局）；❌无枭神夺食（偏印夺食，才华受阻）；❌食神有生财之路（缺财星转化，秀而不实）"
"P15-20","壬午 癸卯 戊寅 乙卯","合格","6","极弱","正官格·破格","否","木","官杀","是(4)","-44","0","0","0","-44","7","真用神——根深蒂固有力，如大树扎根，用神得力者一生层次高","忌神","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（6分），身太弱难担格局）；✅正官透干有根（月令正官透出天干）；✅无伤官克官（✓）；✅无官杀混杂（✓）"
"P15-20","壬午 癸卯 戊寅 乙卯","合格","6","极弱","正官格·破格","否","火","印","否","44","12","0","0","56","1","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","用神","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（6分），身太弱难担格局）；✅正官透干有根（月令正官透出天干）；✅无伤官克官（✓）；✅无官杀混杂（✓）"
"P15-20","壬午 癸卯 戊寅 乙卯","合格","6","极弱","正官格·破格","否","土","比劫","否","44","4","0","0","48","0.5","弱用神——根基浅薄，如浮萍水面，需大运流年补根方显其用","喜神","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（6分），身太弱难担格局）；✅正官透干有根（月令正官透出天干）；✅无伤官克官（✓）；✅无官杀混杂（✓）"
"P15-20","壬午 癸卯 戊寅 乙卯","合格","6","极弱","正官格·破格","否","金","食伤","否","-44","0","0","0","-44","0","假用神——原局虚浮无根，徒有其名无其实，需行运见根方有用武之地","忌神","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（6分），身太弱难担格局）；✅正官透干有根（月令正官透出天干）；✅无伤官克官（✓）；✅无官杀混杂（✓）"
"P15-20","壬午 癸卯 戊寅 乙卯","合格","6","极弱","正官格·破格","否","水","财","否","-44","0","0","0","-44","2","偏真用神——有根但不够深固，如小树有根，中年后运势方能支撑","忌神","火","火、土","木、金、水","格局救应","无需决胜（唯一最高分）","日主极弱，难以承载格局用神","❌日主有承载格局之力（日主极弱（6分），身太弱难担格局）；✅正官透干有根（月令正官透出天干）；✅无伤官克官（✓）；✅无官杀混杂（✓）"
